American Express
Titular: João Silva
Cartão final: 09294
Ciclo de faturamento: 05/08/2024 a 05/09/2024

Resumo da fatura
Taxa ao Ano,12.5%
CET (Custo Efetivo Total),14.2%
Limite Total,R$ 15.000.00
Limite Disponível,R$ 13.456.78

Lançamentos do período
Data,Descrição,País,Valor Original,Moeda,Valor (R$)
08/08/2024,RESTAURANTE BELLA VISTA,BRASIL,250.00,BRL,250.00
10/08/2024,POSTO SHELL BR 101,BRASIL,180.50,BRL,180.50
12/08/2024,FARMACIA DROGASIL,BRASIL,95.80,BRL,95.80
15/08/2024,APPLE.COM/BILL,EUA,9.99,USD,50.25
18/08/2024,LIVRARIA CULTURA,BRASIL,135.90,BRL,135.90
20/08/2024,SUPERMERCADO PREZUNIC,BRASIL,456.78,BRL,456.78
22/08/2024,UBER * VIAGENS,BRASIL,68.40,BRL,68.40
25/08/2024,CINEMA CINEMARK,BRASIL,98.00,BRL,98.00
28/08/2024,AMAZON.COM,EUA,45.50,USD,228.55
30/08/2024,PADARIA SANTO ANTONIO,BRASIL,23.45,BRL,23.45

Total da fatura: R$ 1.587.63
Vencimento: 15/09/2024
Pagamento mínimo: R$ 79.38
