Cliente: João Silva
Agência: 1234-5
Conta: 12345-6
Período: 01/08/2024 a 31/08/2024

Data;Histórico;Docto.;Crédito (R$);Débito (R$);Saldo (R$)
01/08/2024;COMPRA CARTAO CREDITO;123456;;1.234,56;8.765,44
02/08/2024;PIX RECEBIDO - MARIA SANTOS;789012;500,00;;9.265,44
05/08/2024;SAQUE ATM Shopping CENTER;334455;;200,00;9.065,44
10/08/2024;TED ENVIADO - EMPRESA XYZ;556677;;3.000,00;6.065,44
15/08/2024;DEPOSITO EM DINHEIRO;778899;1.500,00;;7.565,44
18/08/2024;UBER * TRIP HELP;990011;;45,80;7.519,64
20/08/2024;IFOOD * RESTAURANTE ABC;112233;;78,90;7.440,74
22/08/2024;SPOTIFY;334455;;19,90;7.420,84
25/08/2024;SALARIO - EMPRESA ABC LTDA;556677;5.000,00;;12.420,84
28/08/2024;NETFLIX SERVICOS;778899;;39,90;12.380,94
30/08/2024;AMAZON MARKETPLACE;990011;;156,78;12.224,16
